gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PGK1,3338.0850546547995,3.369115851196992,0.28446177532384237,11.843826283378352,2.3163863595529596e-32,8.42536462305195e-30
TUBA1B,8330.038799593043,2.892458246408263,0.25688062182205235,11.259931659663847,2.0691911646349853e-29,5.9206456524089046e-27
ATP5F1B,3204.6550430773013,2.7038415666669473,0.24872474951619408,10.870818332016873,1.587703267851162e-27,3.9163347273661995e-25
TMBIM6,7337.844223678129,2.7734925647912645,0.26392484601919564,10.508645194357882,7.881765265669012e-26,1.6263719480890095e-23
TUBA1C,2068.928171411806,2.7563320382723457,0.2641532353341792,10.434595036420133,1.7234705186346555e-25,3.244357660517518e-23
GANAB,3079.943648989727,2.835672299224043,0.27913966479338653,10.158614689614067,3.033559459688535e-24,5.04652604689271e-22
PSMB4,1059.215742800928,3.8056373386309916,0.37796859176897246,10.068660257773825,7.600633734030765e-24,1.2082192587577794e-21
CDC20,379.258542204445,2.731458769691882,0.2725344441196568,10.022435066932784,1.2147259295053286e-23,1.8487956345520815e-21
ELOVL1,463.9663794196359,2.8780857303052043,0.2938959417492266,9.792873331884916,1.2081292008386139e-22,1.7284301766664435e-20
PEF1,314.935130572948,2.7105713698535805,0.30789041723435423,8.803688644165884,1.3239135052095358e-18,1.1887524611630392e-16
LAPTM4B,856.2811746523107,2.46163739071423,0.27981031932579387,8.797521823518064,1.398706081420596e-18,1.2506763544702495e-16
PPP2R1A,1388.5772514256262,2.3899823451406257,0.27279405412044105,8.761123305442085,1.933141995536551e-18,1.7142655877774538e-16
RPL10,5913.520746830337,2.7638601323884933,0.3178468645205993,8.69557148709696,3.450884623037129e-18,3.035081311900688e-16
RPL7A,6038.79679549213,2.5606458658169853,0.3035794859701316,8.434844856641336,3.3164245008243e-17,2.6755815709657698e-15
SNRPD2,611.867504027165,2.4645267386355183,0.294429080842957,8.370527570101173,5.736083937740665e-17,4.576072910926196e-15
RPS29,1357.0107594001038,3.3917035180942148,0.40857545111804294,8.301290517609454,1.0298651386282516e-16,7.978666380852809e-15
SDHC,721.6233672857031,2.585413804555656,0.3183884556188837,8.120312652448805,4.649842433004048e-16,3.405652512364058e-14
MED28,587.6443293374846,1.9699480992582232,0.24507116581692678,8.038269588719446,9.111599476118262e-16,6.567118174204829e-14
ATP6V0B,489.11503261180894,2.9766973756618405,0.3707319756437605,8.02924368876715,9.807537885753518e-16,7.039122509306706e-14
EIF6,408.9711217397367,2.5598784026892054,0.3192201389093622,8.019163237743108,1.064679398094172e-15,7.590704280099979e-14
TSPAN13,2669.2162615753705,2.658694455723756,0.33257527945373533,7.9942636148144866,1.3035059174133678e-15,9.232091415079497e-14
RAB25,454.91154870935225,2.527065277577033,0.31932480464621915,7.913776946882581,2.4969549389491375e-15,1.7397614607093665e-13
ORMDL2,206.4497153438913,2.720956034035368,0.349983722448031,7.774521669188207,7.573302662475373e-15,5.078846098022547e-13
GABARAP,557.2974973795339,2.7239748974963436,0.3507675938146965,7.765754150411525,8.116084508360372e-15,5.409042656814087e-13
PPIA,7306.294998068248,2.599982298317424,0.33685464404360205,7.718410134137517,1.1778966301941602e-14,7.801747433323049e-13
E2F1,191.45802581146026,3.03978012802648,0.39466066802050453,7.702262663449778,1.3367774876930415e-14,8.799768369905727e-13
SLC35A4,243.92346697183996,2.6209851188870177,0.3424912210843796,7.652707449226225,1.9679127470267076e-14,1.2720303479275044e-12
COX8A,396.5144332921024,3.1367469199887807,0.4108914053047402,7.634004701710401,2.2757160885576643e-14,1.4578169331476858e-12
MMADHC,539.6963536325677,2.156797342674409,0.28303214359662976,7.62032649460558,2.5303487387264434e-14,1.6065468619251324e-12
B4GALT2,268.4522169187822,2.630920384101545,0.3467349928418133,7.587697920359073,3.2563898755042016e-14,2.06141966750207e-12
MTCH1,1401.0597202711892,2.2621185533823778,0.29915644563501576,7.561657408318935,3.9796542931253286e-14,2.4971748868558347e-12
APEH,528.929159426243,2.242575478638941,0.29825880309214137,7.518891162270708,5.524274748321865e-14,3.416296756420186e-12
CAPNS1,1670.4729554989424,2.0979897856808085,0.2792117937563104,7.513972663747455,5.735956683583267e-14,3.516960869419912e-12
RNF185,198.9410029406876,2.4829369859916826,0.33092485768024693,7.503023506293375,6.236236369847858e-14,3.812810042647722e-12
VPS25,308.61413403151903,2.0974784730473055,0.27967069162618446,7.499815089136522,6.39079223746871e-14,3.8962045856840495e-12
TBRG4,315.5751144122465,2.552146786762539,0.3417093854120497,7.468764089359258,8.095151763742719e-14,4.893576249293485e-12
HADHB,792.6667890688941,2.0640623784503247,0.27842636812997296,7.4133150258483935,1.231808100749289e-13,7.302376199469541e-12
SLC25A3,1569.4207283132403,2.0870543082109436,0.28266880720821574,7.383390933098626,1.5430808058219792e-13,9.097393981576834e-12
BLOC1S5-TXNDC5,87.45146131690043,8.511057431766824,1.159941264821138,7.337490000477931,2.1763665286379612e-13,1.255506067327168e-11
SPG21,432.00834295045547,2.236354090886292,0.3051764593201078,7.328068802779181,2.334928476238363e-13,1.3397744679164513e-11
GLO1,1285.3474801257655,2.6394548134020086,0.360634664674537,7.318915988800037,2.499820276966362e-13,1.4292908833772085e-11
TMEM128,123.40772871220099,2.8407078135266115,0.38872723633291395,7.307714891101099,2.717235638604908e-13,1.5385719473472646e-11
TRIM28,1559.4472590252217,2.3482129845569952,0.32308281998971106,7.268145624802262,3.644557869126461e-13,2.031486022635165e-11
CYB5B,273.10307551055297,2.0427704489630174,0.2814953102809017,7.256854286220807,3.9619610562397936e-13,2.1800944683822044e-11
BANF1,767.1566705456828,2.2454907183707067,0.3097861828245061,7.248517987139463,4.2135648319230866e-13,2.3042404373281146e-11
RPS13,999.9227159137665,2.165335268984952,0.29924607034961936,7.235968935047725,4.622171247526078e-13,2.5175582480180113e-11
UBE2Z,899.6086504022094,1.9842668085819932,0.27457172967692656,7.2267702538668885,4.946158025887729e-13,2.6804179604937034e-11
ESYT1,869.3333269684152,2.159932146972949,0.29893359634079003,7.225458006100408,4.994157849702878e-13,2.6996127822323363e-11
ICMT,398.3141355340482,2.153143145810702,0.3004968729277476,7.165276379859069,7.762977810753656e-13,4.093206482033746e-11
SNN,303.2497072165506,2.535056717954829,0.3558906284730763,7.123134230399129,1.054999817415327e-12,5.4163387755341916e-11
NDUFC2,501.97867974520284,3.01996599218316,0.4275915967133171,7.062734664095668,1.6325728344374674e-12,8.166669703269942e-11
HSPD1,3867.131153628887,1.7554934560034572,0.2496786167030022,7.03101242382984,2.0504024304937407e-12,1.0000371854180835e-10
POLA2,237.53986600344493,2.1173715942959537,0.3018216092775613,7.01530814630564,2.294427076408896e-12,1.1089730869309665e-10
ZFAND5,1005.1952300227326,2.332470147934194,0.33258809064151074,7.013089805576687,2.3311171229228976e-12,1.1241746844477615e-10
PTP4A1,822.9890725480992,2.846593889274532,0.4071997912231879,6.990656553933011,2.7360279570915745e-12,1.3076873042134785e-10
YIPF6,434.0188102177576,2.1639546001020262,0.3100949537584112,6.978361220892102,2.9864301238442513e-12,1.414763586262641e-10
MKKS,148.83252885433222,2.7059788274886776,0.38793532588035096,6.9753349256037325,3.0514298224075363e-12,1.4423718940278796e-10
SLC35B2,598.2062890817016,2.848494512227728,0.408867371913094,6.966793410047853,3.2424626119407433e-12,1.525948413426499e-10
KPTN,71.2184048081557,3.131827319111429,0.4496163146921814,6.965555334119841,3.2711081763486008e-12,1.536060863554507e-10
UBA1,3472.9096309744873,1.7485569672160408,0.25165683739619743,6.948179852006921,3.700290879599331e-12,1.7300270648409944e-10
SURF1,223.5319762755669,2.272849610857585,0.32779326909401224,6.9337897545593705,4.097134400924159e-12,1.9031277974855507e-10
NOL6,305.99375451210665,2.170520506841129,0.31465240894194674,6.898153152997437,5.268293364915274e-12,2.4365856812733144e-10
AK2,920.3590499708461,2.1007674929894447,0.30564817738493233,6.873155635879172,6.279698767176938e-12,2.8795370842653224e-10
PPP1CC,988.8352159142817,1.7695769944271373,0.25766682617357844,6.8676943039421525,6.524785032567201e-12,2.979189080827492e-10
EIF3F,401.43691456749315,1.9776657601696415,0.28940463840686714,6.833566217377926,8.282923612672638e-12,3.757960691922935e-10
ZDHHC18,145.97559795932116,2.386321846167691,0.3495970253662357,6.8259214839365265,8.736270391894986e-12,3.9469550023171873e-10
RIC8A,348.45554092591897,2.4514896386917937,0.36049401777812684,6.800361497817175,1.0435695635056074e-11,4.675365935872721e-10
SRD5A3,232.66959934440857,2.2044420627284733,0.32440127592606055,6.795417362140471,1.0799940964565385e-11,4.818435199575325e-10
HNRNPL,1700.0813259402319,1.7333926825065085,0.2559015372471775,6.773670456040322,1.2555548742832687e-11,5.555506722086381e-10
FAM220A,79.46584505642545,2.9245913536721235,0.43353467539862023,6.745922574666173,1.5205769392718318e-11,6.680195477688214e-10
PSMB1,506.922381011429,1.784675642551155,0.26487229619781105,6.737872054457252,1.6072299466078162e-11,7.024675082322553e-10
APH1A,965.7334554449446,3.21229913973225,0.47679633376948677,6.737256375979763,1.614052468555357e-11,7.040155686015845e-10
SRSF2,1115.6081037162462,2.0531727994659432,0.3051438619384986,6.728540388860117,1.7137343188505055e-11,7.459784682055142e-10
GPX8,320.8542613406975,2.172734810823564,0.32323651561965994,6.721811137761855,1.7947949536994628e-11,7.781070647755651e-10
SDHD,209.13334681333407,2.295267359026364,0.34217676085635607,6.707841155787622,1.975247700005241e-11,8.528936748915991e-10
TRAPPC3,271.97128531491643,1.9034568854925284,0.28386066205354066,6.705602924062462,2.0057645727634176e-11,8.643314805522679e-10
GLB1,254.61099408307638,2.1780228978847935,0.3252538083198054,6.696379387949412,2.13646626188578e-11,9.169713196013768e-10
DDX39B,1768.1372027115294,1.895863166925331,0.28362746130207356,6.684342758003139,2.3196331470200657e-11,9.935993480050022e-10
MPDU1,172.50005027834425,3.0479269286272643,0.45820452736299977,6.65189177891433,2.8934943711183454e-11,1.2271618419802312e-9
TRUB2,306.48946963522343,2.1148616005651206,0.3184917522671677,6.640239772335025,3.131732836991276e-11,1.322178893826561e-9
RPS19,1799.1459779492761,2.851115624454693,0.4302436541633682,6.626746488565508,3.431662318137747e-11,1.4355452894198062e-9
ANAPC16,689.7142326981533,1.9592070863334512,0.29586040117452395,6.622065942436623,3.542129641077488e-11,1.4788735816638694e-9
PMF1,247.48622990746782,2.8205825188262414,0.42844433139612065,6.583311557968673,4.600836157348209e-11,1.906060693758544e-9
GTF2H2B,39.665987487130366,7.3702688958082625,1.1222067874373718,6.56765667283008,5.111322187168876e-11,2.105354589954781e-9
PRDX3,757.3479616924179,1.7999106321395884,0.27404601815316515,6.567913828011224,5.102505310572227e-11,2.105354589954781e-9
ILF2,1405.9194642258344,2.2348356649175614,0.34079709671151176,6.557672252734514,5.465416346761891e-11,2.2425972237382444e-9
SLC50A1,517.9061194037598,2.0989827599076825,0.3207989881190867,6.542984353580629,6.0303141658425e-11,2.4509572348291675e-9
SHMT2,447.62714800063696,2.22292076739982,0.3406862626325236,6.524832408043237,6.807761078231474e-11,2.7461382093768314e-9
PSMA1,508.2191781624389,2.6186991200273395,0.40154958541703156,6.5214838095466465,6.961523720055494e-11,2.802894916179942e-9
ODC1,350.0012216945862,2.1968805620927783,0.33691850444795496,6.520510251262078,7.006861813321276e-11,2.8158661893984e-9
SPR,160.1204793635582,2.4241608558383363,0.3725563723920376,6.506829665196048,7.675335679261403e-11,3.0615744177871695e-9
SULT1A1,63.24205187864589,4.0491860584193065,0.6223845282534857,6.505923387559126,7.721757459739056e-11,3.0743769032653093e-9
EIF1,2148.49239968305,1.7124938936679883,0.2633368417067769,6.503054728570164,7.870514526406795e-11,3.1278007729016634e-9
FAM168B,1118.3915146368145,1.7502348888954635,0.2694238936146158,6.496212586842804,8.236724578314687e-11,3.267284832728894e-9
ZNF263,437.3763503918493,1.6774577715567371,0.25851059295081885,6.488932435646342,8.644671990306443e-11,3.4164762598890652e-9
FMC1-LUC7L2,55.78547310893378,7.86252614198355,1.211769694069397,6.48846573772563,8.671487060314192e-11,3.4188261454583908e-9
TMEM109,392.02356653797256,2.1656316743240205,0.3343430418709839,6.47727454474645,9.339416977764432e-11,3.644070697142267e-9
NCOA4,967.9669232569078,1.9688599858954436,0.3050957652360006,6.453252421817366,1.0947478464153898e-10,4.225411651811919e-9
GTF2IRD1,385.79848278557125,1.8038559178181217,0.2806560598968417,6.4272829828835665,1.2990485788305182e-10,4.9692660430842995e-9
FANCG,218.31844549246074,2.278391731640531,0.35453460569307466,6.426429733668834,1.3063576475204243e-10,4.98833365049614e-9
CCT8,1512.236217550775,1.7732781312203485,0.27779370286895366,6.383435307951794,1.731587655326122e-10,6.588629624698329e-9
SF3B5,202.95567952628866,2.6514760347263726,0.4154792670925344,6.381728872492314,1.7509977640317349e-10,6.650692392233811e-9
PIGM,203.82237086508061,2.063963627125801,0.323681789517594,6.376520687808457,1.8115628945966455e-10,6.856462031401061e-9
PSENEN,236.176680336314,2.136380437578843,0.33567491075084893,6.3644328758444155,1.9601261761217557e-10,7.353899954470783e-9
RAB5IF,330.7684242126536,1.8814024854063915,0.29565829443511715,6.363435495699477,1.9729026916473756e-10,7.376043861106739e-9
GCH1,177.17957671706185,2.6659494114665376,0.41924203455059234,6.358974510569555,2.0310510343124925e-10,7.56540186660138e-9
GOT1,254.70182397970441,2.7302921529941147,0.4293761485958976,6.358742007264352,2.0341271561178921e-10,7.56540186660138e-9
BTF3,1193.1812074705356,1.6873812675991866,0.26547767147383905,6.356019541046284,2.0704869922891828e-10,7.68730983642316e-9
VMA22,153.0849468831902,2.0657467448973312,0.32787499741996684,6.300409488837504,2.968603218316706e-10,1.081599746435934e-8
EBP,323.34404423988383,2.1426208387173133,0.3401968634909642,6.298179285754122,3.011620647130595e-10,1.0946851833264573e-8
EIF3I,1208.7204288916125,1.9496908851420567,0.3095720476549954,6.29801979833432,3.0147201460668045e-10,1.0946851833264573e-8
NEURL1B,434.01970765687315,2.7792921132760533,0.4415653275328136,6.294181041806365,3.0902699086542365e-10,1.1202228418871608e-8
RPS12,2772.9636585206977,2.045849683272504,0.32531446995255564,6.288837024590003,3.1985303901284967e-10,1.1536212129774376e-8
RPL30,2597.0611300405644,1.9120220656628395,0.3042631132153236,6.2841073485951044,3.297428082367415e-10,1.1853066440134793e-8
TYRO3,144.97499239312307,2.4072008327984,0.38385778154082595,6.271074727561247,3.5856446823133855e-10,1.2782048983794894e-8
RHOB,2293.5302003425727,1.7459412231770135,0.27844882795028636,6.270240877037306,3.604899955021793e-10,1.2829378612730958e-8
ATP5MC2,1144.7592268324538,2.3303790410741536,0.3717490193509881,6.268689141783367,3.6410017104793676e-10,1.2936406739550865e-8
TXNIP,1915.0524846023318,2.1656322656017615,0.3459154943114979,6.2605818508135505,3.835436948848418e-10,1.3515349248322997e-8
PRDX6,1359.731682385458,1.97689958884321,0.3167399004899321,6.241397391946354,4.3367888619449295e-10,1.518229836498176e-8
RPS3,4539.045506640546,1.8044679821900578,0.2895201753819935,6.2326156711159735,4.587105959266886e-10,1.603245828760055e-8
MCRS1,256.92639325287325,1.9959407321504603,0.3203738233919463,6.23003687073591,4.663254113004672e-10,1.6219357093205877e-8
SLC71A2,434.70697850186986,2.0395756136442804,0.32743479805628944,6.2289519188295195,4.695658599470252e-10,1.6305636495895082e-8
SMIM13,125.57456124232873,2.5513386740589814,0.4096549435588449,6.228018761093003,4.723705134749183e-10,1.63765286254794e-8
CMTM4,715.7339300967162,1.748398211081252,0.28074950152274064,6.2276093157715975,4.736062769650894e-10,1.6392888231727125e-8
ATP5MC3,658.7292262536082,2.9496114119251753,0.4737257212790862,6.226411780979631,4.772387426163301e-10,1.645609847859471e-8
AAR2,277.8041246389379,1.7340765253906933,0.2797145731201704,6.199450053843648,5.666079438491789e-10,1.9362112221342958e-8
SNHG29,665.759019560121,3.1329001625840265,0.5058527177249725,6.1933049933466116,5.891556807474406e-10,2.0068699855301705e-8
SLC1A5,1674.5147200809572,2.167087170484751,0.3505238802797014,6.182423773112173,6.312479466772868e-10,2.133319832392846e-8
RPN2,2669.257856374269,1.7948836447202083,0.2911700187138999,6.164383450769494,7.07582902846763e-10,2.3689124953340927e-8
GNAS,11712.711165695735,2.160578738769249,0.35165886149691666,6.14396216143182,8.048802383370044e-10,2.673797200419832e-8
TMEM125,147.28916782578273,2.603748364685067,0.42386916913812045,6.142811400931638,8.107352557336373e-10,2.689084789496732e-8
TMEM203,234.9631274063364,2.6427337312975876,0.43073136296614073,6.135456942580078,8.491476312161895e-10,2.8078132767179397e-8
CFL1,3339.1088024079445,1.6678064122952625,0.2720882830649244,6.129651720053299,8.807165332581206e-10,2.903252965241055e-8
EXT2,552.2454618487899,1.6909601178278846,0.2759054881166965,6.128765793570148,8.856338075924948e-10,2.9149848943151746e-8
TXN2,225.25325404769916,2.265904446514723,0.3710634091073724,6.1065154658217775,1.0182977322204012e-9,3.316034800220002e-8
POLR2D,448.59964586648454,1.6738081593502845,0.2746365694790389,6.094629577282258,1.0969115102096162e-9,3.561228594417302e-8
UQCRC2,1015.2510598720296,1.618600378652667,0.2659669788198302,6.085719309347533,1.1596946024896004e-9,3.753702287998013e-8
PHB1,819.9303804707239,1.7962992657721917,0.2951830042607842,6.085374970251411,1.1621898908662978e-9,3.7561137135528245e-8
ABT1,144.69756646467647,2.5449160000488775,0.4187187050914084,6.077865567274597,1.2179279084211706e-9,3.912684568071605e-8
MAD2L1BP,159.45459109111547,2.789329600869534,0.4614549312615066,6.044641441460337,1.4974263937787088e-9,4.7748544443523167e-08
SRXN1,517.7300611500054,2.0089592585415854,0.3326153480922616,6.039887425712946,1.5422178701306766e-9,4.910385087982837e-8
SLC25A11,163.10198666447135,2.4634030769601885,0.40788880687721357,6.039398569967978,1.5468971453664752e-9,4.917987072528083e-8
SLC39A1,772.7268321386471,2.7537522005337833,0.45626736158003645,6.035391598026307,1.5857765368846934e-9,5.034136757625077e-8
NIT2,503.4389601920481,2.455765151843609,0.4070935860440155,6.032433907170644,1.61508407290447e-9,5.119601802737065e-8
TCF19,304.0241062964629,2.10561908079665,0.35031432171597754,6.01065657402329,1.847734550038743e-9,5.8312328593869746e-8
IARS1,1815.1233898017497,1.4349010095616748,0.2387416684042358,6.010266323229802,1.8521880291264395e-9,5.83670412702693e-8
PDXP,42.43093022504138,3.3281409769594967,0.5542095745491767,6.005202958947041,1.9109271143861404e-9,6.004172163210332e-8
CCT7,1937.950332258497,1.6141258075858307,0.2697948869798666,5.982788723888176,2.1934921368780976e-9,6.802361453382077e-8
URM1,312.24348698127665,2.9409783920939363,0.49189885518489884,5.978827478645906,2.247494233713475e-9,6.959772908440284e-8
MAZ,1186.9738610512009,2.107033642049633,0.35257683060143735,5.97609785775028,2.2854574623926397e-9,7.0569664953879207e-08
AKIRIN1,419.832589338086,2.254244132439799,0.37894653321435573,5.9487129050067296,2.7025918909259127e-9,8.285374568467155e-8
HILPDA,179.08176068024468,2.0077304499952158,0.3381010702474968,5.938255233932021,2.88071327154586e-9,8.788208580697042e-8
MGST2,112.13741656256809,2.472562825495068,0.41660229784691377,5.935067661109361,2.937243423971551e-9,8.928221512525423e-8
RNF26,145.65122185334297,1.939636387616411,0.32698587585721145,5.9318659637256435,2.9951109282822364e-9,9.065596688425499e-8
YWHAQ,2106.293667234785,1.7149737883115668,0.2892685031976002,5.92865717958952,3.054219744046817e-9,9.205555576860209e-8
RPSA,1949.909177932415,2.2019403252901255,0.37155270831008014,5.926320212561851,3.097982147390273e-9,9.324361414164833e-8
SLC25A40,194.64447586562915,1.7962703761749261,0.3034600828268891,5.919297060231876,3.2332051949086297e-9,9.677068826044517e-8
ARLN,511.23057499734364,1.7990360053996215,0.304821131112172,5.901939930593556,3.5925197787205615e-9,1.0670936278605098e-7
LRATD2,1685.0989589895917,1.7661231031467617,0.29972784917302986,5.892422435951878,3.805747488665356e-9,1.121859081136793e-7
C6orf62,2013.6397552862138,2.1740598702205345,0.36914532602272493,5.889441683156235,3.87502515511008e-9,1.1407138522450249e-7
PPIF,524.6812300271185,1.8013054071784298,0.30634705659019257,5.879950103741578,4.103901726087734e-9,1.201497012849151e-7
COPG1,2311.006097156796,1.4551395136586818,0.2475958327587449,5.877075948513869,4.1757665660853506e-9,1.2142540719267158e-7
GTF2H4,172.5104033258149,2.5407142079138336,0.4325203940079498,5.87420672669399,4.2487291141542955e-9,1.2337987386975802e-7
TOMM6,751.656758261215,2.46440414966068,0.41957002818793027,5.873642024203036,4.263234570727199e-9,1.2346695531417773e-7
