source,term_id,term_name,p_value,intersection_size
GO:BP,GO:0008104,intracellular protein localization,0.005565682141988031,272
GO:BP,GO:1901992,positive regulation of mitotic cell cycle phase transition,0.0056170701826863114,17
GO:BP,GO:0097193,intrinsic apoptotic signaling pathway,0.005715055542708002,41
GO:BP,GO:0170038,proteinogenic amino acid biosynthetic process,0.00604040010753397,10
GO:BP,GO:0170036,import into the mitochondrion,0.006057888907482794,6
GO:BP,GO:0016139,glycoside catabolic process,0.006174771015972746,5
KEGG,KEGG:00510,N-Glycan biosynthesis,0.006254869858248633,15
GO:BP,GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,0.006388727847458215,18
GO:BP,GO:0051304,chromosome separation,0.0063981381532420365,16
GO:BP,GO:0070936,protein K48-linked ubiquitination,0.007218265967856252,17
GO:BP,GO:0098869,cellular oxidant detoxification,0.007727575224167507,22
GO:BP,GO:0051276,chromosome organization,0.007763787032248534,64
GO:BP,GO:0000028,ribosomal small subunit assembly,0.008057758441964246,9
GO:BP,GO:0007029,endoplasmic reticulum organization,0.008572399270583347,16
GO:BP,GO:0061024,membrane organization,0.00867097823039305,80
GO:BP,GO:1905818,regulation of chromosome separation,0.009777917578738232,15
GO:BP,GO:0016054,organic acid catabolic process,0.009897362385266848,38
GO:BP,GO:0046395,carboxylic acid catabolic process,0.009897362385266848,38
GO:BP,GO:0043484,regulation of RNA splicing,0.009913907592693656,15
GO:BP,GO:0015931,nucleobase-containing compound transport,0.010108316623416267,36
GO:BP,GO:0009150,purine ribonucleotide metabolic process,0.010427403478910701,19
GO:BP,GO:0070585,protein localization to mitochondrion,0.010444397242739805,14
KEGG,KEGG:03050,Proteasome,0.010614181298441988,7
KEGG,KEGG:05010,Alzheimer disease,0.010932049066695902,22
GO:BP,GO:0006749,glutathione metabolic process,0.011035053975236634,15
GO:BP,GO:0015986,proton motive force-driven ATP synthesis,0.011335875588428756,18
GO:BP,GO:0055085,transmembrane transport,0.011356785343331344,95
GO:BP,GO:0000280,nuclear division,0.011670464287817005,45
GO:BP,GO:0010256,endomembrane system organization,0.01195135353937411,71
KEGG,KEGG:05014,Amyotrophic lateral sclerosis,0.012771002852915065,4
GO:BP,GO:0046394,carboxylic acid biosynthetic process,0.012900538307480466,51
GO:BP,GO:0009259,ribonucleotide metabolic process,0.012925066727084992,35
GO:BP,GO:0016042,lipid catabolic process,0.013741160235634285,41
GO:BP,GO:0006665,sphingolipid metabolic process,0.0138384440975703,33
GO:BP,GO:0031145,anaphase-promoting complex-dependent catabolic process,0.014263308767121086,7
KEGG,KEGG:05130,Pathogenic Escherichia coli infection,0.014730606664929941,3
GO:BP,GO:1901524,regulation of mitophagy,0.014772434152652867,12
GO:BP,GO:0008219,cell death,0.014913506557703389,212
GO:BP,GO:1901873,regulation of post-translational protein modification,0.01606921773298142,40
GO:BP,GO:0008652,amino acid biosynthetic process,0.01629113510435151,11
GO:BP,GO:0033044,regulation of chromosome organization,0.0164160650017887,28
GO:BP,GO:0016053,organic acid biosynthetic process,0.01705152720524698,51
GO:BP,GO:0051881,regulation of mitochondrial membrane potential,0.017563538770343258,11
GO:BP,GO:0019377,glycolipid catabolic process,0.01758427337995706,8
GO:BP,GO:0006637,acyl-CoA metabolic process,0.017853038025737802,23
GO:BP,GO:0010965,regulation of mitotic sister chromatid separation,0.018361773790260435,13
GO:BP,GO:0012501,programmed cell death,0.01858911725437558,226
GO:BP,GO:0051988,regulation of attachment of spindle microtubules to kinetochore,0.019328525608541425,9
GO:BP,GO:0009226,nucleotide-sugar biosynthetic process,0.0193642513734053,11
GO:BP,GO:0019693,ribose phosphate metabolic process,0.019421867630582096,35
GO:BP,GO:0000727,double-strand break repair via break-induced replication,0.019609135156069546,7
GO:BP,GO:0097190,apoptotic signaling pathway,0.01973735170813547,57
GO:BP,GO:0045842,positive regulation of mitotic metaphase/anaphase transition,0.020341080592344272,7
GO:BP,GO:0033108,mitochondrial respiratory chain complex assembly,0.020656973392498723,23
GO:BP,GO:0005996,monosaccharide metabolic process,0.022717232666322362,25
GO:BP,GO:0034599,cellular response to oxidative stress,0.022747356932367097,40
GO:BP,GO:0006672,ceramide metabolic process,0.02298758779295752,18
GO:BP,GO:0046165,alcohol biosynthetic process,0.023283220546273246,28
GO:BP,GO:0016126,sterol biosynthetic process,0.023358611621128726,18
GO:BP,GO:0048193,Golgi vesicle transport,0.02392293107227024,47
GO:BP,GO:1901989,positive regulation of cell cycle phase transition,0.0262729936474335,18
GO:BP,GO:0070129,regulation of mitochondrial translation,0.0285737524475211,9
KEGG,KEGG:03030,DNA replication,0.029039520315970554,17
KEGG,KEGG:00190,Oxidative phosphorylation,0.02942921308541863,9
GO:BP,GO:0045931,positive regulation of mitotic cell cycle,0.029518184294961263,25
GO:BP,GO:0044272,sulfur compound biosynthetic process,0.03084021557986511,24
GO:BP,GO:0009124,nucleoside monophosphate biosynthetic process,0.03113799839399433,14
KEGG,KEGG:04110,Cell cycle,0.03182552708989084,29
